id,conversation,username,text,retweets,favorites,date,batch
921370688199409664,921370688199409664,egdub,saw a man say about that it falsely says real rape and words women don 't like are the same which detracts from real crimes . but part of the power of the stories i saw is that the line is hazy . in lived experience people feel afraid and that s critical to hear .,0,5,2017-10-20,batch_200.json
920076141662048256,920076141662048256,QuondamProlix,any sexual harassment i  have experienced is well below the frequency & threat level described by leena . didn t realize how lucky i am . …,0,2,2017-10-16,batch_200.json
920188023588896769,920188023588896769,KeirraKelly,all i ’ m going   to say is sometimes they ’ reply the closest people to you,6,24,2017-10-17,batch_200.json
922898058685440006,922723589689880576,wutnow,this . because it is about all of us .,1,2,2017-10-24,batch_200.json
920039713163026433,920039713163026433,JenniferKayMo,the commonality of sexual assault is the main reason i  have been abstaining from sex for quite a while now .,1,4,2017-10-16,batch_200.json
920705056399278080,920705056399278080,donnak64,can bring up old and buried memories and that s really okay . there is power in the light . <repeated> trust in love . – be i kaiser permanente  - tualatin,0,0,2017-10-18,batch_200.json
921459045474750464,921459045474750464,emilypdxdc,turns out any group of women you ask will likely have a story . …,0,1,2017-10-20,batch_200.json
920117030279290880,920117030279290880,kitKATbarzZz,if you have time to read my story please do . read about how i was feeling right when it happened right after and the week to come,0,17,2017-10-16,batch_200.json
920349204773404672,920349204773404672,alixbrewster,someone posted a today & added how this issue effects all genders and they were able to move past the experience in a healthy manner,0,0,2017-10-17,batch_200.json
919795766842998784,919795766842998784,eli1892,happens so much that too many of us just deal with it in silence . we move on keep men at a distance and live partial lives .,0,0,2017-10-16,batch_200.json
919969806220013571,919969806220013571,CheyenneMiner,me too . my life was split in two completely different stories – before and after .,2,11,2017-10-16,batch_200.json
930216334016647168,930216334016647168,LaniKaiDuck,“ allowing to go viral is the biggest mistake the establishment ever made ” by caitlin johnstone …,1,1,2017-11-13,batch_200.json
920147893004115969,920147893004115969,LaniKaiDuck,another story . powerful . …,0,2,2017-10-17,batch_200.json
920129608594288641,919795526249324544,LaniKaiDuck,i feel the same . all of us .,0,2,2017-10-16,batch_200.json
919814647795949570,919814647795949570,LaniKaiDuck,thread . <repeated> …,1,4,2017-10-16,batch_200.json
919790860035694593,919790860035694593,LaniKaiDuck,me too . too many to re coun them all . most if not all women you know have been sexually harass e many men too .,2,5,2017-10-16,batch_200.json
923919277354254337,923919277354254337,HSteinkopfFrank,tara na burke who started speaks at the,1,2,2017-10-27,batch_200.json
919956291203645441,919956291203645441,Hanft_Nott,because every  98 seconds someone is sexually assaulted an harassed .,0,1,2017-10-16,batch_200.json
